"Activity" "Subject" "timeBodyAccelerationMeanX" "timeBodyAccelerationMeanY" "timeBodyAccelerationMeanZ" "timeBodyAccelerationStandardDeviationX" "timeBodyAccelerationStandardDeviationY" "timeBodyAccelerationStandardDeviationZ" "timeGravityAccelerationMeanX" "timeGravityAccelerationMeanY" "timeGravityAccelerationMeanZ" "timeGravityAccelerationStandardDeviationX" "timeGravityAccelerationStandardDeviationY" "timeGravityAccelerationStandardDeviationZ" "timeBodyAccelerationJerkMeanX" "timeBodyAccelerationJerkMeanY" "timeBodyAccelerationJerkMeanZ" "timeBodyAccelerationJerkStandardDeviationX" "timeBodyAccelerationJerkStandardDeviationY" "timeBodyAccelerationJerkStandardDeviationZ" "timeBodyGyroscopicMeanX" "timeBodyGyroscopicMeanY" "timeBodyGyroscopicMeanZ" "timeBodyGyroscopicStandardDeviationX" "timeBodyGyroscopicStandardDeviationY" "timeBodyGyroscopicStandardDeviationZ" "timeBodyGyroscopicJerkMeanX" "timeBodyGyroscopicJerkMeanY" "timeBodyGyroscopicJerkMeanZ" "timeBodyGyroscopicJerkStandardDeviationX" "timeBodyGyroscopicJerkStandardDeviationY" "timeBodyGyroscopicJerkStandardDeviationZ" "timeBodyAccelerationMagnitudeMean" "timeBodyAccelerationMagnitudeStandardDeviation" "timeGravityAccelerationMagnitudeMean" "timeGravityAccelerationMagnitudeStandardDeviation" "timeBodyAccelerationJerkMagnitudeMean" "timeBodyAccelerationJerkMagnitudeStandardDeviation" "timeBodyGyroscopicMagnitudeMean" "timeBodyGyroscopicMagnitudeStandardDeviation" "timeBodyGyroscopicJerkMagnitudeMean" "timeBodyGyroscopicJerkMagnitudeStandardDeviation" "frequencyBodyAccelerationMeanX" "frequencyBodyAccelerationMeanY" "frequencyBodyAccelerationMeanZ" "frequencyBodyAccelerationStandardDeviationX" "frequencyBodyAccelerationStandardDeviationY" "frequencyBodyAccelerationStandardDeviationZ" "frequencyBodyAccelerationJerkMeanX" "frequencyBodyAccelerationJerkMeanY" "frequencyBodyAccelerationJerkMeanZ" "frequencyBodyAccelerationJerkStandardDeviationX" "frequencyBodyAccelerationJerkStandardDeviationY" "frequencyBodyAccelerationJerkStandardDeviationZ" "frequencyBodyGyroscopicMeanX" "frequencyBodyGyroscopicMeanY" "frequencyBodyGyroscopicMeanZ" "frequencyBodyGyroscopicStandardDeviationX" "frequencyBodyGyroscopicStandardDeviationY" "frequencyBodyGyroscopicStandardDeviationZ" "frequencyBodyAccelerationMagnitudeMean" "frequencyBodyAccelerationMagnitudeStandardDeviation" "frequencyBodyAccelerationJerkMagnitudeMean" "frequencyBodyAccelerationJerkMagnitudeStandardDeviation" "frequencyBodyGyroscopicMagnitudeMean" "frequencyBodyGyroscopicMagnitudeStandardDeviation" "frequencyBodyGyroscopicJerkMagnitudeMean" "frequencyBodyGyroscopicJerkMagnitudeStandardDeviation"
"laying" 2 -0.0181587397583333 -0.107245610416667 -0.974059464791667 -0.98027739875 -0.984233296875 -0.976606966458333 0.752536639375 0.646834879583333 -0.959014441458333 -0.988211865208333 -0.984230418125 -0.962074936458333 0.012254788451875 -0.00180264895625 -0.98587216875 -0.98317254125 -0.988442014375 -0.98729154125 -0.111800824583333 0.144882846104167 -0.988275232916667 -0.982291608958333 -0.960306560416667 -0.988574029583333 -0.0358590176083333 -0.0701783020833333 -0.993235849166667 -0.989567537916667 -0.98803582125 -0.993824839583333 -0.972873912916667 -0.977229495416667 -0.972873912916667 -0.977229495416667 -0.98551807625 -0.987347631041667 -0.961164053958333 -0.956437945208333 -0.989718095208333 -0.991351451666667 -0.979800877916667 -0.984380981875 -0.973246482083333 -0.981025105625 -0.984792185 -0.9771644075 -0.982768250416667 -0.986197134583333 -0.987250255833333 -0.984987392916667 -0.989345368541667 -0.983314896458333 -0.983321635416667 -0.9626718875 -0.988860685833333 -0.981910616458333 -0.963174222291667 -0.987988235416667 -0.975121387916667 -0.974703681458333 -0.984568489166667 -0.983004468958333 -0.96109837875 -0.966822267291667 -0.989492660416667 -0.989112383333333
"sitting" 2 -0.0156879937282609 -0.109218272456522 -0.986822279565217 -0.950704499130435 -0.95982817173913 -0.988594493695652 -0.105630024498783 0.19872676876087 -0.979988760869565 -0.956750273043478 -0.954415873043478 -0.981169301521739 0.0116954511323913 0.00760546929869565 -0.988055854130435 -0.977983955434783 -0.98751821173913 -0.989188836521739 -0.0599286797043478 0.0412277462173913 -0.985742027826087 -0.978919526956522 -0.959803708695652 -0.986214806521739 -0.0415602029130435 -0.04358509665 -0.989709023043478 -0.990889614782609 -0.985542325652174 -0.990905795217391 -0.953081444130435 -0.958719576521739 -0.953081444130435 -0.958719576521739 -0.984475868043478 -0.986893698913043 -0.961313624130435 -0.956461792608696 -0.989594919565217 -0.990721259130435 -0.957343498478261 -0.970162172608696 -0.98736209 -0.950073754130435 -0.956862864130435 -0.987225959347826 -0.977139702826087 -0.985129050217391 -0.989459107391304 -0.980804228478261 -0.988570804130435 -0.986181069130435 -0.982100923695652 -0.959814822391304 -0.986808501521739 -0.977356188695652 -0.963522659782609 -0.985443882608696 -0.955575602173913 -0.957092356956522 -0.984124185869565 -0.980972608913043 -0.961385745217391 -0.966489517608696 -0.989632908913043 -0.989247532391304
"standing" 2 -0.0184208270166667 -0.105908536055556 -0.987271889259259 -0.957304989259259 -0.949741851296296 -0.98934137 -0.370062696851852 0.129747161222222 -0.986685818703704 -0.97419442037037 -0.945927078703704 -0.986895012962963 0.0103291774794444 -0.00837158846722222 -0.981085715555556 -0.97105943962963 -0.982841446481482 -0.98303888537037 -0.0820396577592593 0.0878351695481481 -0.972998629814815 -0.971441996481481 -0.964856701851852 -0.975400010555556 -0.042241953537037 -0.0546539479425926 -0.979324000740741 -0.983447258518519 -0.973610118333333 -0.981439642407407 -0.957874965 -0.96247724962963 -0.957874965 -0.96247724962963 -0.976675280185185 -0.978865446296296 -0.95394338037037 -0.954621206851852 -0.977204427777778 -0.981025793888889 -0.959871697407407 -0.962471195740741 -0.989056469814815 -0.957908842222222 -0.946433583518518 -0.986673613518519 -0.970851337962963 -0.979775152037037 -0.983007923703704 -0.973520241111111 -0.984599905185185 -0.978469450740741 -0.972576152962963 -0.960627696111111 -0.97498812462963 -0.97103605037037 -0.969754295740741 -0.969484560925926 -0.960519381481482 -0.960424692777778 -0.97516046 -0.973970031111111 -0.956788725740741 -0.956163500925926 -0.977754298148148 -0.977374199814815
"walking" 2 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 -0.460983072033898 -0.34660709 0.0847270871186441 -0.972693201355932 -0.972116879661017 -0.972072847627119 -0.973123471694915 0.0182492679288136 0.00789533706610169 -0.277530462620339 -0.0166022362847458 -0.586090418983051 -0.271097579237288 -0.0482382316949153 0.0828336633220339 -0.561550255762712 -0.53845366779661 -0.481085535084746 -0.550073869661017 -0.0538299449067797 -0.0514939156830508 -0.389549831525424 -0.634140436101695 -0.435492677288136 -0.410904381186441 -0.422544169322034 -0.494211893728814 -0.422544169322034 -0.494211893728814 -0.164150985127119 -0.199696317119492 -0.553019916271186 -0.529044591694915 -0.557798151355932 -0.580948398983051 -0.0219048103322034 -0.453806369830508 -0.457651383728814 -0.16921968620339 -0.455222146440678 -0.352915676271186 -0.0787640836610169 -0.554956709661017 -0.31431306340678 -0.0153329520084746 -0.615898188474576 -0.175890497338983 -0.55477211220339 -0.396659907457627 -0.604053019152542 -0.533046952542373 -0.559856635084746 -0.481481335423729 -0.577105211694915 -0.479875862542373 -0.164091969449153 -0.134787572220339 -0.651792839661017 -0.586184276610169 -0.558104554745763 -0.549210865423729
"walkingDownstairs" 2 -0.0226614158361702 -0.116812942382979 0.0463666814446808 0.262881788951064 -0.10283790806383 -0.0627127618723404 -0.325780100638298 -0.0438890162723404 -0.940361759574468 -0.940068525531915 -0.931438313191489 -0.940392785744681 -0.00327959081489362 -0.0209351677765957 0.147249143238298 0.126828014557447 -0.340122023191489 0.0984002741553192 -0.00482329231914894 0.097173808906383 -0.320789230008511 -0.415739144893617 -0.279418388042553 -0.326008600425532 -0.0421470257531915 -0.0710229816893617 -0.243940592553192 -0.469396701106383 -0.218266318606383 -0.300860673057447 0.215586334889362 0.00163716701340425 0.215586334889362 0.00163716701340425 0.22961718512766 0.172822236068085 -0.274844110531915 -0.210738830151064 -0.343187875404255 -0.402210274542553 0.278345041765957 -0.131290772 0.0161046198595745 0.171973972957447 -0.162032894287234 0.138076920840426 0.0962091607617021 -0.271498721106383 0.0499590624829787 0.0808333491276596 -0.408227423191489 0.307896590255319 -0.361913824 -0.0874944736085106 -0.379436674361702 -0.458732747446809 -0.422987665106383 -0.253289150940426 -0.0214787881723404 0.201758478638298 0.227480732542553 0.242387200234043 -0.372576755361702 -0.35818044606383 -0.343698985425532 -0.314083602538298
"walkingUpstairs" 2 -0.0214121132045833 -0.152513899520833 -0.304376406458333 0.108027279889583 -0.112121021220833 -0.361106808541667 -0.416214890416667 -0.195888238891667 -0.934407739791667 -0.92376745375 -0.878004056875 -0.935984259583333 -0.00970985514333333 0.01948143925 -0.276121886479167 -0.185648954220833 -0.5737463525 -0.310505535875 -0.0320883097395833 0.0688374021666667 -0.439253058958333 -0.466298336666667 -0.163995791679167 -0.468730469375 -0.0424053708458333 -0.0445157481625 -0.464854363125 -0.645491337708333 -0.467595961041667 -0.480682447291667 -0.205977045295833 -0.361505067708333 -0.205977045295833 -0.361505067708333 -0.21738939458125 -0.313953077666667 -0.377532167604167 -0.3131551213125 -0.597291719166667 -0.629021841875 0.00992445881854167 -0.281001986202083 -0.320582414375 0.0848802791083333 -0.09454497643125 -0.2710237351875 -0.1878421317125 -0.522728063333333 -0.365415441458333 -0.243554146666667 -0.625090981458333 -0.192798072608333 -0.488086123958333 -0.248601122 -0.476358845625 -0.459758488958333 -0.218072471479167 -0.395268701666667 -0.36672824375 -0.208576495108333 -0.2604238389625 -0.173454664739583 -0.438620401875 -0.416696958541667 -0.621820202916667 -0.583401111875
"laying" 4 -0.0150031841055556 -0.110688150314815 -0.954193738888889 -0.941714042407407 -0.962667314814815 -0.957949598333333 0.915165104259259 0.341531310555556 -0.921199965925926 -0.969816635740741 -0.976176608888889 -0.925286638518519 0.00693313213968519 -0.00641054328740741 -0.978302781111111 -0.942209488333333 -0.978511984259259 -0.979712549259259 -0.0930128180759259 0.169720404092593 -0.973102422222222 -0.961109291851852 -0.962073755 -0.973955353148148 -0.0381230432222222 -0.0712156288333333 -0.975103204259259 -0.986855629814815 -0.983965359814815 -0.977078201111111 -0.931292216611111 -0.938656310740741 -0.931292216611111 -0.938656310740741 -0.960786430740741 -0.964289142962963 -0.947031781666667 -0.939716569444444 -0.982698213703704 -0.983802027222222 -0.938883374444444 -0.967504278888889 -0.952464881481481 -0.946380971111111 -0.962154454259259 -0.958852738333333 -0.943969987222222 -0.975383329444444 -0.980079292592593 -0.944366881666667 -0.980261236296296 -0.975457210185185 -0.972187839074074 -0.961479262592593 -0.975094739444444 -0.956182500185185 -0.965807466666667 -0.971169256851852 -0.937187975962963 -0.938952220555556 -0.958037119259259 -0.959338719444444 -0.947100325185185 -0.953050380740741 -0.982543631666667 -0.983198737222222
"sitting" 4 -0.007163065158 -0.10587459588 -0.980309931 -0.89022398108 -0.9322030066 -0.9826360798 0.211622539936894 0.11012048108 -0.9814052948 -0.93272710386 -0.9509492546 -0.9816041612 -0.0108582171094 -0.0121499951596 -0.9767421962 -0.9445961056 -0.9790387658 -0.9785156892 -0.08943006108 0.10115033478 -0.9701317904 -0.9584681204 -0.9279722294 -0.9733478562 -0.041848389996 -0.0489964351672 -0.9698997312 -0.984441358 -0.9688048316 -0.9733680686 -0.9144078448 -0.9216980628 -0.9144078448 -0.9216980628 -0.9625491104 -0.9670985358 -0.928898293 -0.9233473158 -0.9758066902 -0.9788274604 -0.9057829318 -0.9517837432 -0.9819081892 -0.8894673494 -0.9269993168 -0.9798656784 -0.9442983908 -0.9751549056 -0.9787769122 -0.949293158 -0.9816994482 -0.9732462486 -0.9675836478 -0.9337768922 -0.973333107 -0.954120419 -0.9328683544 -0.967500601 -0.9198157096 -0.9232623892 -0.9615845194 -0.9597871674 -0.9288505544 -0.9348685534 -0.9762617538 -0.9753871156
"standing" 4 -0.00948911098553571 -0.0961574905535714 -0.97692058 -0.86159737875 -0.896880538392857 -0.979461749464286 -0.0759009061071429 0.166893825946429 -0.972908355892857 -0.917613464821429 -0.899404775267857 -0.973425791071429 -0.00653015693773214 -0.0211889890567857 -0.972586541964286 -0.938354677857143 -0.973054201071429 -0.974723375 -0.061824850625 0.0755636430892857 -0.909687974464286 -0.949227146964286 -0.909995038571429 -0.916603973928571 -0.0461257201357143 -0.0490753497867857 -0.949633878571429 -0.976065174642857 -0.957982019464286 -0.951523846071429 -0.890976683392857 -0.898789521785714 -0.890976683392857 -0.898789521785714 -0.958159482142857 -0.962417612321429 -0.885144317678571 -0.878716135357143 -0.964282784285714 -0.968174140178571 -0.889549205 -0.93164342125 -0.978737637678571 -0.857380281803571 -0.887554317678571 -0.977281189821429 -0.937624242142857 -0.968648411607143 -0.975706723571429 -0.944075308928571 -0.976229505535714 -0.969532173571429 -0.955992945178571 -0.915280955357143 -0.912464793928571 -0.945825840178571 -0.91665163125 -0.907475953392857 -0.895340042142857 -0.906213757678571 -0.96003249875 -0.954487510535714 -0.887194404285714 -0.891708328392857 -0.9664302175 -0.962574838571429
"walking" 4 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0788267367683333 -0.586252806833333 -0.463240806833333 -0.0858540265666667 0.127764112666667 -0.983826494833333 -0.967963221 -0.962968112 -0.9843229285 0.00295602428666667 -0.000767679338333334 -0.297042612533333 -0.221165131581667 -0.7513913825 -0.302450075666667 -0.0726905278583333 0.0805677161216667 -0.500916659 -0.665394092833333 -0.662608226 -0.5028022105 -0.0393474489133333 -0.0551166852766667 -0.492341066833333 -0.807419937 -0.640454132833333 -0.47447923 -0.527679103166667 -0.578967097833333 -0.527679103166667 -0.578967097833333 -0.316918956 -0.331230605333333 -0.553116111166667 -0.498310692166667 -0.7301463685 -0.738298274166667 -0.14939963344 -0.631005470833333 -0.447234929666667 -0.101799450565167 -0.594198325666667 -0.415414538 -0.279553391533333 -0.728991595666667 -0.29732607245 -0.2099000063 -0.772359087333333 -0.193270663583333 -0.688460056666667 -0.601381129166667 -0.542646759 -0.654657770166667 -0.716458475166667 -0.416192622666667 -0.651172628166667 -0.557063152666667 -0.320458701 -0.311203114033333 -0.593937200833333 -0.592263705333333 -0.757768081166667 -0.734149804833333
